date,company,positive,neutral,negative,total,neg_pct
2025-08-13,Alphabet,60,66,21,147,0.142857
2025-08-13,Amazon,83,3,14,100,0.140000
2025-08-13,Apple,39,46,13,98,0.132653
2025-08-13,Disney,38,43,19,100,0.190000
2025-08-13,Ford,26,54,19,99,0.191919
2025-08-13,Meta,80,63,56,199,0.281407
2025-08-13,Procter & Gamble,27,21,7,55,0.127273
2025-08-13,Walmart,36,28,29,93,0.311828
2025-08-15,3M,16,19,5,40,0.125000
2025-08-15,A-Mark Precious Metals,36,4,0,40,0.000000
2025-08-15,AES,21,13,6,40,0.150000
2025-08-15,AGCO,20,16,4,40,0.100000
2025-08-15,APA,16,13,11,40,0.275000
2025-08-15,AT&T,8,26,6,40,0.150000
2025-08-15,AbbVie,13,21,6,40,0.150000
2025-08-15,Abbott Laboratories,20,16,4,40,0.100000
2025-08-15,Advance Auto Parts,13,15,12,40,0.300000
2025-08-15,Advanced Micro Devices,6,2,2,10,0.200000
2025-08-15,Aflac,14,16,10,40,0.250000
2025-08-15,Air Products & Chemicals,15,23,2,40,0.050000
2025-08-15,Alaska Air Group,14,24,2,40,0.050000
2025-08-15,Albertsons,14,14,12,40,0.300000
2025-08-15,Allstate,18,17,5,40,0.125000
2025-08-15,Ally Financial,15,24,1,40,0.025000
2025-08-15,Alphabet,17,20,3,40,0.075000
2025-08-15,Altria Group,16,20,4,40,0.100000
2025-08-15,Amazon,34,2,4,40,0.100000
2025-08-15,American Airlines Group,16,19,5,40,0.125000
2025-08-15,American Express,20,16,4,40,0.100000
2025-08-15,American International Group,6,25,9,40,0.225000
2025-08-15,Ameriprise Financial,23,15,2,40,0.050000
2025-08-15,AmerisourceBergen,13,14,13,40,0.325000
2025-08-15,Amgen,15,18,7,40,0.175000
2025-08-15,Amphenol,12,22,6,40,0.150000
2025-08-15,Antero Resources,11,28,1,40,0.025000
2025-08-15,Aon,9,16,15,40,0.375000
2025-08-15,Apple,14,21,5,40,0.125000
