date,company,total,controlled,negative_serp,neutral_serp,positive_serp
2025-09-15,3M,6,4,0,2,4
2025-09-15,A O Smith,7,4,0,3,4
2025-09-15,A-Mark Precious Metals,7,2,0,0,7
2025-09-15,ABM Industries,7,3,0,4,3
2025-09-15,ADT,7,3,0,4,3
2025-09-15,AECOM,7,6,0,1,6
2025-09-15,AES,10,7,0,1,9
2025-09-15,AGCO,6,3,0,3,3
2025-09-15,AGNC Investment,6,1,1,4,1
2025-09-15,AIG,7,3,0,4,3
2025-09-15,AMC Entertainment,8,4,0,1,7
2025-09-15,AMC Networks,6,3,0,3,3
2025-09-15,AMN Healthcare Services,7,2,0,5,2
2025-09-15,APA,10,3,0,6,4
2025-09-15,APi Group,6,3,0,3,3
2025-09-15,ARKO,97,36,0,58,39
2025-09-15,ASGN,97,9,1,73,23
2025-09-15,AT&T,7,5,0,2,5
2025-09-15,ATI Inc,10,5,0,4,6
2025-09-15,AbbVie,7,5,0,2,5
2025-09-15,Abbott Laboratories,7,1,0,4,3
2025-09-15,Abercrombie & Fitch,9,4,0,5,4
2025-09-15,Academy Sports and Outdoors,8,5,0,3,5
2025-09-15,Acadia Healthcare,7,2,0,5,2
2025-09-15,Ace Hardware,8,3,0,3,5
2025-09-15,Acuity Inc,7,2,0,4,3
2025-09-15,Adams Resources & Energy,7,2,0,0,7
2025-09-15,AdaptHealth,7,6,0,0,7
2025-09-15,Adobe,6,4,0,2,4
2025-09-15,Advance Auto Parts,8,5,0,3,5
2025-09-15,Advanced Drainage Systems,7,3,0,0,7
2025-09-15,Advanced Micro Devices,6,2,0,1,5
2025-09-15,Advantage Solutions,6,3,0,0,6
2025-09-15,Aflac,7,5,0,2,5
2025-09-15,Agilent Technologies,7,3,0,4,3
2025-09-15,Agilon Health,6,2,0,2,4
2025-09-15,Air Lease,9,1,0,7,2
2025-09-15,Air Products & Chemicals,7,2,0,5,2
2025-09-15,Airbnb,7,5,0,2,5
2025-09-15,Akamai Technologies,5,3,0,2,3
2025-09-15,Alaska Air,5,2,0,3,2
2025-09-15,Albemarle Corporation,6,3,0,3,3
2025-09-15,Albertsons,6,5,0,1,5
2025-09-15,Alcoa Corporation,6,4,0,2,4
2025-09-15,Alexandria Real Estate Equities,6,1,0,5,1
2025-09-15,Alight Solutions,7,3,0,3,4
2025-09-15,Align Technology,7,2,0,4,3
2025-09-15,Allegiant Travel Company,7,2,0,5,2
2025-09-15,Alliance Resource Partners,7,2,0,5,2
2025-09-15,Alliant Energy,7,5,0,0,7
2025-09-15,Allison Transmission,8,2,0,6,2
2025-09-15,Allstate,7,6,0,1,6
2025-09-15,Ally Financial,8,5,0,3,5
2025-09-15,Alpha Metallurgical Resources,6,3,0,3,3
2025-09-15,Alphabet,10,3,0,7,3
2025-09-15,Altice USA,7,4,0,3,4
2025-09-15,Altria,7,3,1,3,3
2025-09-15,Amazon,8,4,0,4,4
2025-09-15,Ameren,6,3,0,3,3
2025-09-15,American Airlines,5,3,0,2,3
2025-09-15,American Axle & Manufacturing,6,2,0,4,2
2025-09-15,American Eagle Outfitters,8,5,0,3,5
2025-09-15,American Electric Power,7,1,0,6,1
2025-09-15,American Express,4,1,0,3,1
2025-09-15,American Family Insurance,7,3,0,4,3
2025-09-15,American Financial Group,7,1,0,5,2
2025-09-15,American Tower,10,6,0,4,6
2025-09-15,American Water Works,8,5,0,3,5
2025-09-15,Americold Realty Trust,6,1,0,1,5
2025-09-15,Ameriprise Financial,6,2,0,4,2
2025-09-15,Ametek,7,4,0,3,4
2025-09-15,Amgen,6,4,0,2,4
2025-09-15,Amica Mutual Insurance,7,3,0,4,3
2025-09-15,Amkor Technology,5,2,0,3,2
2025-09-15,Amphenol,5,3,0,2,3
2025-09-15,Analog Devices,5,3,0,2,3
2025-09-15,Antero Resources,6,1,0,5,1
