date,company,positive,neutral,negative,total,neg_pct
2026-02-23,3M Company,11,35,4,50,0.080000
2026-02-23,A O Smith,12,33,5,50,0.100000
2026-02-23,A-Mark Precious Metals,32,16,2,50,0.040000
2026-02-23,ABM Industries,12,23,11,46,0.239130
2026-02-23,ADT,19,14,17,50,0.340000
2026-02-23,AECOM,17,31,2,50,0.040000
2026-02-23,AES,14,30,6,50,0.120000
2026-02-23,AGCO,12,37,1,50,0.020000
2026-02-23,AGNC Investment,12,18,20,50,0.400000
2026-02-23,AIG,12,31,7,50,0.140000
2026-02-23,AMC Entertainment,42,6,2,50,0.040000
2026-02-23,AMC Networks,15,31,4,50,0.080000
2026-02-23,AMN Healthcare Services,7,36,7,50,0.140000
2026-02-23,APA,19,23,8,50,0.160000
2026-02-23,APi Group,18,31,1,50,0.020000
2026-02-23,ARKO,8,42,0,50,0.000000
2026-02-23,ASGN,7,37,6,50,0.120000
2026-02-23,AT&T,14,27,9,50,0.180000
2026-02-23,ATI Inc,21,26,3,50,0.060000
2026-02-23,AbbVie,19,22,9,50,0.180000
2026-02-23,Abbott Laboratories,17,28,5,50,0.100000
2026-02-23,Abercrombie & Fitch,24,21,5,50,0.100000
2026-02-23,Academy Sports and Outdoors,24,25,1,50,0.020000
2026-02-23,Acadia Healthcare,7,31,12,50,0.240000
2026-02-23,Ace Hardware,17,29,4,50,0.080000
2026-02-23,Acuity Inc,15,31,4,50,0.080000
2026-02-23,Adams Resources & Energy,16,5,3,24,0.125000
2026-02-23,AdaptHealth,11,28,11,50,0.220000
2026-02-23,Adobe,21,23,6,50,0.120000
2026-02-23,Advance Auto Parts,19,25,6,50,0.120000
2026-02-23,Advanced Drainage Systems,43,4,3,50,0.060000
2026-02-23,Advanced Micro Devices,32,10,8,50,0.160000
2026-02-23,Advantage Solutions,43,5,2,50,0.040000
2026-02-23,Aflac,16,20,14,50,0.280000
2026-02-23,Agilent Technologies,16,27,7,50,0.140000
2026-02-23,Agilon Health,13,15,22,50,0.440000
2026-02-23,Air Lease,12,34,4,50,0.080000
2026-02-23,Air Products & Chemicals,8,37,5,50,0.100000
2026-02-23,Airbnb,27,19,4,50,0.080000
2026-02-23,Akamai Technologies,13,29,8,50,0.160000
2026-02-23,Alaska Airlines,18,21,11,50,0.220000
2026-02-23,Albemarle Corporation,9,37,4,50,0.080000
2026-02-23,Albertsons,27,22,1,50,0.020000
2026-02-23,Alcoa Corporation,17,28,5,50,0.100000
2026-02-23,Alexandria Real Estate Equities,19,25,6,50,0.120000
2026-02-23,Alight Solutions,23,25,2,50,0.040000
2026-02-23,Align Technology,17,27,6,50,0.120000
2026-02-23,Allegiant Travel Company,17,31,2,50,0.040000
2026-02-23,Alliance Resource Partners,14,23,13,50,0.260000
2026-02-23,Alliant Energy,44,6,0,50,0.000000
2026-02-23,Allison Transmission,14,29,7,50,0.140000
2026-02-23,Allstate,22,19,9,50,0.180000
2026-02-23,Ally Financial,17,29,4,50,0.080000
2026-02-23,Alpha Metallurgical Resources,15,24,11,50,0.220000
2026-02-23,Alphabet Inc,18,24,8,50,0.160000
2026-02-23,Alteryx,20,29,1,50,0.020000
2026-02-23,Altria,19,22,9,50,0.180000
2026-02-23,Amazon,15,27,8,50,0.160000
2026-02-23,Ameren,21,22,7,50,0.140000
2026-02-23,American Airlines,12,17,21,50,0.420000
2026-02-23,American Axle & Manufacturing,16,31,3,50,0.060000
2026-02-23,American Cancer Society,0,1,49,50,0.980000
2026-02-23,American Eagle Outfitters,13,30,7,50,0.140000
2026-02-23,American Electric Power,18,29,3,50,0.060000
2026-02-23,American Express,25,17,8,50,0.160000
2026-02-23,American Family Insurance,21,23,6,50,0.120000
2026-02-23,American Financial Group,20,27,3,50,0.060000
2026-02-23,American Securities,29,18,3,50,0.060000
2026-02-23,American Tower,20,27,3,50,0.060000
2026-02-23,American Water Works,16,29,5,50,0.100000
2026-02-23,Americold Realty Trust,42,6,2,50,0.040000
2026-02-23,Ameriprise Financial,19,29,2,50,0.040000
2026-02-23,Ametek,18,31,1,50,0.020000
2026-02-23,Amgen,17,26,7,50,0.140000
2026-02-23,Amica Mutual Insurance,23,25,2,50,0.040000
2026-02-23,Amkor Technology,15,33,2,50,0.040000
2026-02-23,Amphenol,16,31,3,50,0.060000
2026-02-23,Analog Devices,17,32,1,50,0.020000
2026-02-23,Antero Resources,16,27,7,50,0.140000
2026-02-23,Anywhere Real Estate Inc,12,30,8,50,0.160000
2026-02-23,Apollo Global Management,25,18,7,50,0.140000
2026-02-23,AppLovin,12,26,12,50,0.240000
2026-02-23,Apple,9,33,8,50,0.160000
2026-02-23,Applied Industrial Technologies,17,32,1,50,0.020000
2026-02-23,Applied Materials,14,29,7,50,0.140000
2026-02-23,AptarGroup,17,31,2,50,0.040000
2026-02-23,Aramark,19,27,4,50,0.080000
2026-02-23,ArcBest,12,30,8,50,0.160000
2026-02-23,Arch Resources,35,12,3,50,0.060000
2026-02-23,Archer Daniels Midland,14,28,8,50,0.160000
2026-02-23,Ares Management,18,26,6,50,0.120000
2026-02-23,Arista Networks,17,26,7,50,0.140000
2026-02-23,Arrow Electronics,14,34,2,50,0.040000
2026-02-23,Arthur J Gallagher & Co,15,33,2,50,0.040000
2026-02-23,Asbury Automotive Group,11,31,8,50,0.160000
2026-02-23,Assurant,21,27,2,50,0.040000
2026-02-23,Atkore,13,33,4,50,0.080000
2026-02-23,Atlassian,14,32,4,50,0.080000
2026-02-23,Atmos Energy,48,1,1,50,0.020000
2026-02-23,Auto-Owners Insurance,10,35,5,50,0.100000
2026-02-23,AutoNation,15,27,8,50,0.160000
2026-02-23,AutoZone,13,25,12,50,0.240000
2026-02-23,Autodesk,6,39,5,50,0.100000
2026-02-23,Autoliv,12,36,2,50,0.040000
2026-02-23,Automatic Data Processing,14,31,5,50,0.100000
2026-02-23,AvalonBay Communities,14,28,8,50,0.160000
2026-02-23,Avantor,8,29,13,50,0.260000
2026-02-23,Avery Dennison,11,31,8,50,0.160000
2026-02-23,Avient,12,36,2,50,0.040000
2026-02-23,Avis Budget,7,32,11,50,0.220000
2026-02-23,Avnet,17,29,4,50,0.080000
2026-02-23,BHG Financial,26,20,4,50,0.080000
2026-02-23,BJ's Wholesale Club,10,36,4,50,0.080000
