date,ceo,company,positive,neutral,negative,total,neg_pct,theme,alias
2026-04-24,John Furner,Walmart,5,20,0,25,0.0,,John Furner Walmart
2026-04-24,Andy Jassy,Amazon,16,8,1,25,4.0,,Andy Jassy Amazon
2026-04-24,Stephen Hemsley,UnitedHealth,7,17,1,25,4.0,,Stephen Hemsley UnitedHealth
2026-04-24,Tim Cook,Apple,7,13,5,25,20.0,,Tim Cook Apple
2026-04-24,David Joyner,CVS Health,7,9,9,25,36.0,,David Joyner CVS Health
2026-04-24,Warren Buffett,Berkshire Hathaway,8,10,7,25,28.0,,Warren Buffett Berkshire Hathaway
2026-04-24,Sundar Pichai,Alphabet Inc,9,16,0,25,0.0,,Sundar Pichai Alphabet Inc
2026-04-24,Darren Woods,Exxon Mobil,3,15,7,25,28.0,,Darren Woods Exxon Mobil
2026-04-24,Brian Tyler,McKesson,5,14,6,25,24.0,,Brian Tyler McKesson
2026-04-24,Robert Mauch,Cencora,5,9,0,14,0.0,,Robert Mauch Cencora
2026-04-24,Jamie Dimon,JPMorgan Chase,5,7,13,25,52.0,,Jamie Dimon JPMorgan Chase
2026-04-24,Ron Vachris,Costco,12,12,1,25,4.0,,Ron Vachris Costco
2026-04-24,David Cordani,Cigna,13,11,1,25,4.0,,David Cordani Cigna
2026-04-24,Satya Nadella,Microsoft,10,12,3,25,12.0,,Satya Nadella Microsoft
2026-04-24,Jason Hollar,Cardinal Health,13,10,2,25,8.0,,Jason Hollar Cardinal Health
2026-04-24,Mike Wirth,Chevron,6,11,8,25,32.0,,Mike Wirth Chevron
2026-04-24,Brian Moynihan,Bank of America,11,10,4,25,16.0,,Brian Moynihan Bank of America
2026-04-24,Mary Barra,General Motors,6,16,3,25,12.0,,Mary Barra General Motors
2026-04-24,Jim Farley,Ford Motor,7,13,5,25,20.0,,Jim Farley Ford Motor
2026-04-24,Gail Boudreaux,Elevance Health,10,12,3,25,12.0,,Gail Boudreaux Elevance Health
2026-04-24,Jane Fraser,Citigroup,6,11,8,25,32.0,,Jane Fraser Citigroup
2026-04-24,Mark Zuckerberg,Meta Platforms,4,15,6,25,24.0,,Mark Zuckerberg Meta Platforms
2026-04-24,Sarah London,Centene,7,14,4,25,16.0,,Sarah London Centene
2026-04-24,Ted Decker,The Home Depot Inc,3,16,6,25,24.0,,Ted Decker The Home Depot Inc
2026-04-24,Priscilla Almodovar,Fannie Mae,2,18,5,25,20.0,,Priscilla Almodovar Fannie Mae
2026-04-24,Ron Sargent,Kroger,2,19,4,25,16.0,,Ron Sargent Kroger
2026-04-24,Mark Lashier,Phillips 66,6,9,10,25,40.0,,Mark Lashier Phillips 66
2026-04-24,Maryann Mannen,Marathon Petroleum,3,20,2,25,8.0,,Maryann Mannen Marathon Petroleum
2026-04-24,Dan Schulman,Verizon,4,10,11,25,44.0,,Dan Schulman Verizon
2026-04-24,Jensen Huang,Nvidia,5,13,7,25,28.0,,Jensen Huang Nvidia
2026-04-24,David Solomon,Goldman Sachs,5,11,9,25,36.0,,David Solomon Goldman Sachs
2026-04-24,Charles Scharf,Wells Fargo,16,2,7,25,28.0,,Charles Scharf Wells Fargo
2026-04-24,Lane Riggs,Valero Energy,19,6,0,25,0.0,,Lane Riggs Valero Energy
2026-04-24,Brian Roberts,Comcast,7,14,4,25,16.0,,Brian Roberts Comcast
2026-04-24,Jon Farney,State Farm Insurance,5,15,5,25,20.0,,Jon Farney State Farm Insurance
2026-04-24,John Stankey,AT&T,4,15,6,25,24.0,,John Stankey AT&T
2026-04-24,Michael Hutchins,Freddie Mac,1,22,2,25,8.0,,Michael Hutchins Freddie Mac
2026-04-24,Jim Rechtin,Humana,13,8,4,25,16.0,,Jim Rechtin Humana
2026-04-24,Ted Pick,Morgan Stanley,11,12,2,25,8.0,,Ted Pick Morgan Stanley
2026-04-24,Michael Fiddelke,Target Corporation,4,17,4,25,16.0,,Michael Fiddelke Target Corporation
2026-04-24,Philip Smith,StoneX Group,3,13,1,17,5.9,,Philip Smith StoneX Group
2026-04-24,Elon Musk,Tesla,7,13,5,25,20.0,,Elon Musk Tesla
2026-04-24,Michael Dell,Dell Technologies,13,11,1,25,4.0,,Michael Dell Dell Technologies
2026-04-24,Ramon Laguarta,PepsiCo,9,13,3,25,12.0,,Ramon Laguarta PepsiCo
2026-04-24,Josh D'Amaro,The Walt Disney Company,5,12,8,25,32.0,,Josh D'Amaro The Walt Disney Company
2026-04-24,Carol Tome,UPS,6,8,11,25,44.0,,Carol Tome UPS
2026-04-24,Joaquin Duato,Johnson & Johnson,10,10,5,25,20.0,,Joaquin Duato Johnson & Johnson
2026-04-24,Rajesh Subramaniam,FedEx,4,14,7,25,28.0,,Rajesh Subramaniam FedEx
2026-04-24,Juan Luciano,Archer Daniels Midland,2,13,10,25,40.0,,Juan Luciano Archer Daniels Midland
2026-04-24,Jon Moeller,Procter & Gamble,2,20,3,25,12.0,,Jon Moeller Procter & Gamble
2026-04-24,Marvin Ellison,Lowe's Companies,7,16,2,25,8.0,,Marvin Ellison Lowe's Companies
2026-04-24,Thomas Long,Energy Transfer,19,1,5,25,20.0,,Thomas Long Energy Transfer
2026-04-24,Christopher Calio,RTX,11,11,3,25,12.0,,Christopher Calio RTX
2026-04-24,Susan Morris,Albertsons,9,14,2,25,8.0,,Susan Morris Albertsons
2026-04-24,Kevin Hourican,Sysco,11,10,4,25,16.0,,Kevin Hourican Sysco
2026-04-24,Tricia Griffith,Progressive Insurance,11,9,5,25,20.0,,Tricia Griffith Progressive Insurance
2026-04-24,Stephen Squeri,American Express,11,12,2,25,8.0,,Stephen Squeri American Express
2026-04-24,James Taiclet,Lockheed Martin,7,13,5,25,20.0,,James Taiclet Lockheed Martin
2026-04-24,Michel Khalaf,MetLife Inc,9,15,1,25,4.0,,Michel Khalaf MetLife Inc
