ceo,domain,url
Marvin Ellison,lowes.com,https://corporate.lowes.com/investors/corporate-governance/board-of-directors/marvin-r-ellison
Brian Roberts,cmcsa.com,https://www.cmcsa.com/board-directors-management/brian-roberts
Jason Hollar,cardinalhealth.com,https://cg.cardinalhealth.com/board-of-directors/Person-Details/default.aspx?ItemId=3d675a6f-89b7-4374-8157-b7db897b8315
Jason Hollar,davita.com,https://investors.davita.com/board-of-directors?item=11
Priscilla Almodovar,fanniemae.com,https://www.fanniemae.com/about-us/corporate-governance/board-directors
Jon Moeller,pg.com,https://us.pg.com/board-of-directors/jon-moeller/
David Solomon,goldmansachs.com,https://www.goldmansachs.com/our-firm/our-people-and-leadership/leadership/board-of-directors/david-solomon
Ron Sargent,kroger.com,https://ir.kroger.com/governance/board-of-directors/person-details/default.aspx?ItemId=ed8f2d4a-2958-490c-b842-cbc74641b5b9
Ron Sargent,wellsfargo.com,https://www.wellsfargo.com/about/corporate/governance/sargent/
Ron Sargent,jfklibrary.org,https://www.jfklibrary.org/about-us/jfk-library-foundation/board-of-directors/ronald-l-sargent-chair
Ron Sargent,fivebelow.com,https://investor.fivebelow.com/governance/board-of-directors/person-details/default.aspx?ItemId=d7b8293d-bc9a-4239-9323-0f57fb7352bf
Jim Rechtin,gcs-web.com,https://humana.gcs-web.com/corporate-governance/management
Mark Lashier,phillips66.com,https://investor.phillips66.com/corporate-governance/person-details/default.aspx?ItemId=ffb76783-53a4-4a75-aedb-e527b27622fa
Lane Riggs,valero.com,https://www.valero.com/about/board-directors
Ramon Laguarta,visa.com,https://investor.visa.com/investor-relations/corporate-governance/board-of-directors/Person-Details/default.aspx?ItemId=c7cbae14-a466-44c9-a771-15eb49439a5d
Brian Moynihan,bankofamerica.com,https://investor.bankofamerica.com/corporate-governance/management-team-and-directors
John Stankey,att.com,https://investors.att.com/corporate-governance/leadership/john-stankey-bio
Rajesh Subramaniam,pg.com,https://us.pg.com/board-of-directors/rajesh-subramaniam/
Darren Woods,exxonmobil.com,https://corporate.exxonmobil.com/corporate-governance/board-of-directors/darren-woods
Brian Tyler,mckesson.com,https://www.mckesson.com/about-us/corporate-governance/board-of-directors/brian-tyler/
Charles Scharf,wellsfargo.com,https://www.wellsfargo.com/about/corporate/governance/scharf/
Stephen Squeri,americanexpress.com,https://ir.americanexpress.com/governance-and-corporate-responsibility/executive-committee-and-directors/person-details/default.aspx?ItemId=83cfacb0-90b4-414c-823b-222f743ca112
Ryan Lance,conocophillips.com,https://www.conocophillips.com/investor-relations/corporate-governance/board-of-directors/board-members/bio/ryan-m-lance/
Juan Luciano,adm.com,https://investors.adm.com/governance/board-of-directors/default.aspx
David Joyner,cvshealth.com,https://investors.cvshealth.com/investors/corporate-governance/officers/person-details/default.aspx?ItemId=d2793b46-5a5b-4eeb-8af9-e99de58d62e9
Michael Hutchins,freddiemac.com,https://www.freddiemac.com/governance/board-directors
Michael Hutchins,advfn.com,https://investorshub.advfn.com/boards/read_msg.aspx?message_id=175058940
Hans Vestberg,blackrock.com,https://ir.blackrock.com/governance/board-of-directors/person-details/default.aspx?ItemId=d6007249-2b1a-4f59-8478-d9327e6400a3
Hans Vestberg,wpdi.org,https://www.wpdi.org/board-members/hans-vestberg/
Dan Schulman,verizon.com,https://www.verizon.com/about/investors/board-directors
Dan Schulman,clevelandclinic.org,https://my.clevelandclinic.org/about/overview/leadership/board-of-directors/schulman-dan
Dan Schulman,cisco.com,https://investor.cisco.com/corporate-governance/board-of-directors/person-details/default.aspx?ItemId=3d3a9bb5-6a3d-418d-ace5-0272a0d9ea91
