CEO,Company,Company Alias,CEO Alias,Websites,Stock,Sector,Favorite,Fortune 1000,Fortune 500,Forbes Top Private Companies
John Furner,Walmart,,John Furner Walmart,walmart.com|walmart.org|walmartconnect.com,WMT,Consumer Discretionary,TRUE,TRUE,TRUE,FALSE
Andy Jassy,Amazon,,Andy Jassy Amazon,aboutamazon.com|amazon.com|amazon.jobs,AMZN,Consumer Discretionary,FALSE,TRUE,TRUE,FALSE
Stephen Hemsley,UnitedHealth,,Stephen Hemsley UnitedHealth,member.uhc.com|uhc.com|unitedhealthgroup.com,UNH,Health Care,FALSE,TRUE,TRUE,FALSE
Tim Cook,Apple,,Tim Cook Apple,apple.com,AAPL,Technology,TRUE,TRUE,TRUE,FALSE
David Joyner,CVS Health,,David Joyner CVS Health,aetnacvshealth.com|care.cvs.com|cvs.com|cvshealth.com,CVS,Health Care,TRUE,TRUE,TRUE,FALSE
Warren Buffett,Berkshire Hathaway,,Warren Buffett Berkshire Hathaway,berkshirehathaway.com|bhhc.com|bhhs.com,BRKA,Financials,FALSE,TRUE,TRUE,FALSE
Sundar Pichai,Alphabet Inc,,Sundar Pichai Alphabet Inc,abc.xyz|google.com,GOOGL,Technology,FALSE,TRUE,TRUE,FALSE
Darren Woods,Exxon Mobil,,Darren Woods Exxon Mobil,corporate.exxonmobil.com|exxon.com,XOM,Energy,FALSE,TRUE,TRUE,FALSE
Brian Tyler,McKesson,,Brian Tyler McKesson,mckesson.com|mckesson.wd3.myworkdayjobs.com,MCK,Health Care,FALSE,TRUE,TRUE,FALSE
Robert Mauch,Cencora,,Robert Mauch Cencora,cencora.com,COR,Health Care,FALSE,TRUE,TRUE,FALSE
Jamie Dimon,JPMorgan Chase,,Jamie Dimon JPMorgan Chase,chase.com|jpmorgan.com|jpmorganchase.com,JPM,Financials,TRUE,TRUE,TRUE,FALSE
Ron Vachris,Costco,,Ron Vachris Costco,costco.com|costcotravel.com|costcobusinessdelivery.com|costconext.com,COST,Consumer Discretionary,FALSE,TRUE,TRUE,FALSE
David Cordani,Cigna,,David Cordani Cigna,cigna.com|cignaglobal.com|cignahealthbenefits.com|thecignagroup.com|cignaenvoy.com,CI,Health Care,FALSE,TRUE,TRUE,FALSE
Satya Nadella,Microsoft,,Satya Nadella Microsoft,microsoft.com|office.com|outlook.live.com|xbox.com,MSFT,Technology,FALSE,TRUE,TRUE,FALSE
Jason Hollar,Cardinal Health,,Jason Hollar Cardinal Health,cardinalhealth.ca|cardinalhealth.com|jobs.cardinalhealth.com,CAH,Health Care,FALSE,TRUE,TRUE,FALSE
Mike Wirth,Chevron,,Mike Wirth Chevron,chevron.com|chevronwithtechron.com,CVX,Energy,FALSE,TRUE,TRUE,FALSE
